"dado";"grupo";"tecido";"semana";"elemento";"agrupamento";"item";"nbr.val";"nbr.null";"nbr.na";"min";"max";"range";"sum";"median";"mean";"SE.mean";"CI.mean.0.95";"var";"std.dev";"coef.var"
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"Mn";48006;0;0;2,29465e-05;4906,06;4906,0599770535;622953,168699985;6,921535;12,9765689434651;0,190446803923936;0,373278288236961;1741,17690590317;41,7274119243354;3,21559667321376
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"Fe";48006;0;0;0,000523391;371021;371020,999476609;25458385,0911138;105,1445;530,316733139894;13,5766931536516;26,6105005486868;8848782,61502562;2974,69033935057;5,60927112696983
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"Cu";48006;0;0;0,00418525;126417;126416,99581475;1769912,64708646;25,3807;36,8685715761876;2,82041896557601;5,52805897441976;381876,35936513;617,961454594969;16,7611987168522
"stats_elementos_GT";"fixo";"fixo";"-";"mutavel";"tt";"Zn";48006;0;0;0,000174825;76703,1;76703,099825175;6210679,87113168;83,11345;129,372992357865;2,54424508129453;4,98675445968755;310751,624715389;557,451006560566;4,30886691573596
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"P";15444;0;0;0,147549;150745;150744,852451;274477585,826599;21661,75;17772,4414547137;110,542608840086;216,676514357552;188720558,293496;13737,5601288401;0,772969778172851
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"S";15444;0;0;0,137466;110054;110053,862534;210765855,201846;17094,2;13647,1027714223;86,6437826316471;169,832004223251;115940348,441313;10767,560004073;0,788999700846456
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"K";15444;0;0;0,0408328;87347,7;87347,6591672;196656566,584963;13315,9;12733,5254199018;81,1144504096293;158,993862757593;101614632,983817;10080,4083738615;0,791643165694425
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"Ca";15444;0;0;0,00102014;85371,8;85371,79897986;3127520,96884181;50,164;202,507185239692;11,6257214968727;22,7877814470448;2087370,89058606;1444,77364683402;7,13443152707864
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"Mn";15444;0;0;0,00234807;572,59;572,58765193;164948,48850201;8,841275;10,6804253109305;0,0789884553952268;0,154826662488884;96,3578354679172;9,81620270104062;0,919083502320326
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"Fe";15444;0;0;0,0145486;60757,2;60757,1854514;5451449,5943509;311,6175;352,981714215935;6,68416098020564;13,101741652315;690007,155695686;830,666693503288;2,35328534042738
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"Cu";15444;0;0;0,00390395;118355;118354,99609605;878645,01191893;41,99395;56,8923214140721;7,77691761570024;15,2436731781267;934060,032755847;966,467812581385;16,9876670271066
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf0";"Zn";15444;0;0;0,00300629;91521,1;91521,09699371;3209222,80845217;207,21;207,797384644663;6,42011978873648;12,5841898628768;636569,836043052;797,853267238439;3,83957319098497
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"P";11675;0;0;5,68198;64796,4;64790,71802;236106960,47158;26754,5;20223,2942588077;141,75108127223;277,855822208349;234590083,563555;15316,3338813032;0,757360976173926
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"S";11675;0;0;5,15302;69753,7;69748,54698;177499315,56579;20284;15203,3675002818;108,340586433989;212,365665587682;137037445,158947;11706,299379349;0,769980688760699
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"K";11675;0;0;0,0484776;71037,2;71037,1515224;160766009,181189;16451,3;13770,1078527785;93,4019898116777;183,083518249704;101851902,606615;10092,1703615533;0,73290423498876
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"Ca";11675;0;0;0,00256789;346294;346293,99743211;3180671,4872777;84,5049;272,434388631923;33,7899779003814;66,2340068777434;13330078,430984;3651,03799363743;13,401531326393
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"Mn";11675;0;0;0,00106728;691,145;691,14393272;122386,83620535;8,65688;10,4828125229422;0,115419751905414;0,226242013654715;155,531070841668;12,4712096783619;1,18968164803749
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"Fe";11675;0;0;0,0292862;151366;151365,9707138;5147927,9498789;326,182;440,936012837593;16,13935850101;31,6358414056908;3041091,07372164;1743,87243619527;3,95493310916653
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"Cu";11675;0;0;0,00174467;3317,13;3317,12825533;521576,20241815;39,8856;44,6746211921328;0,533612000358248;1,04596874866188;3324,36012886491;57,6572643199875;1,29060443673423
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf1";"Zn";11675;0;0;0,00359145;14479,5;14479,49640855;2672690,96371396;265,619;228,924279547234;2,49853535934316;4,89754709703885;72883,276646543;269,969029050636;1,17929399880423
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"P";16415;0;0;0,0638562;98011,1;98011,0361438;280893504,811354;20941,9;17112,001511505;117,840563028686;230,980291868064;227945228,011074;15097,8550798143;0,882296268479377
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"S";16415;0;0;0,00496445;103800;103799,99503555;216448441,850686;15518;13186,0153427162;92,8576962749573;182,011161831979;141539187,099235;11897,024295984;0,902245597837547
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"K";16415;0;0;0,100151;72986,3;72986,199849;195413246,921988;11069,3;11904,5535742911;79,7967612392624;156,410311758984;104522891,756688;10223,6437612374;0,858801104756774
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"Ca";16415;0;0;0,00218069;136142;136141,99781931;3338244,24364809;43,1218;203,36547326519;16,824367289211;32,9775857063027;4646418,97880949;2155,55537595523;10,5994166135781
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"Mn";16415;0;0;0,00135348;1169,49;1169,48864652;170184,95195693;8,16178;10,3676486114487;0,123394606806943;0,241866820411191;249,938548855094;15,8094449255846;1,52488240275879
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"Fe";16415;0;0;0,00899867;57561,3;57561,29100133;7776819,68687027;436,925;473,763002550732;5,80123171565461;11,3710437258347;552435,160808238;743,259820525931;1,56884310620338
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"Cu";16415;0;0;0,00168985;152686;152685,99831015;1245301,50540056;40,4858;75,863631154466;13,0604509030972;25,5999011205638;2799994,82645919;1673,31850717644;22,0569261148256
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf3";"Zn";16415;0;0;0,000277124;47956,1;47956,099722876;3616457,56890141;202,436;220,314198531917;5,29572674910773;10,3801991328287;460354,108366946;678,494000243883;3,07966533598419
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"P";22885;0;0;0,0015754;63542,3;63542,2984246;264982042,253493;1444,84;11578,8526219573;103,754179266219;203,36521084974;246355416,532504;15695,7133170973;1,35554996937547
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"S";22885;0;0;0,652721;44275,6;44274,947279;210476792,48072;2397,98;9197,15064368451;74,6281678099772;146,276257875496;127454882,110977;11289,5917601558;1,22750971442532
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"K";22885;0;0;0,0194543;140825;140824,9805457;310733030,658073;11378,3;13578,021877128;79,6938763191279;156,205389273889;145345242,122556;12055,9214547274;0,887899692887921
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"Ca";22885;0;0;0,000474737;400437;400436,999525263;5247606,4253727;85,1164;229,303317691619;21,9043013389649;42,9339125596574;10980186,7764361;3313,63648827631;14,4508876785319
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"Mn";22885;0;0;0,000223784;1131,71;1131,709776216;632701,549363156;15,7441;27,6469980058185;0,233020438485633;0,456735824427256;1242,62173895036;35,2508402587848;1,27503319714372
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"Fe";22885;0;0;0,0181586;171754;171753,9818414;33892313,1434536;646,653;1480,98375107947;18,0028746548962;35,2868523078997;7417108,50229619;2723,43689155747;1,83893772607052
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"Cu";22885;0;0;0,000148192;405857;405856,999851808;2217878,62911604;57,4189;96,9140759937095;17,7477674750787;34,7868249761838;7208391,68424745;2684,84481567324;27,7033525640538
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cf5";"Zn";22885;0;0;0,000883354;25533,8;25533,799116646;7504266,70561603;284,855;327,912025589514;2,88590245609906;5,65656405965572;190596,188887324;436,573234277279;1,33137305194104
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"P";5188;0;0;0,00848025;3649,33;3649,32151975;1847365,55763345;99,22415;356,084340330272;6,2103258788126;12,1748559950311;200091,549339205;447,31593906232;1,25620783729897
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"S";5188;0;0;0,314748;24884,1;24883,785252;3562131,975408;203,392;686,609864188126;12,8926005827534;25,2749305848807;862344,949091914;928,625300695557;1,35247882258959
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"K";5188;0;0;38,0607;81806,5;81768,4393;27581421,9306;2830,525;5316,38819016962;87,0213973153013;170,598612935067;39287289,9885907;6267,9574016254;1,1789879101032
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"Ca";5188;0;0;0,00186274;30158;30157,99813726;1500709,29691382;87,70875;289,265477431345;9,95276871792985;19,5116211704843;513910,855531705;716,875760178641;2,47826241328361
